lot_size,loss_trigger,profit_target,year_end_net_profit,year_end_net_capital
0.03,20,90,0.02,1000.02
0.03,30,50,0.02,1000.02
0.03,5,10,0.02,1000.02
0.03,20,70,0.02,1000.02
0.03,20,40,0.02,1000.02
0.03,20,20,0.02,1000.02
0.03,25,40,0.02,1000.02
0.03,20,10,0.02,1000.02
0.03,25,50,0.02,1000.02
0.03,15,80,0.02,1000.02
0.03,20,80,0.02,1000.02
0.03,10,80,0.02,1000.02
0.03,5,70,0.02,1000.02
0.03,10,50,0.02,1000.02
0.03,15,70,0.02,1000.02
0.03,5,100,0.02,1000.02
0.03,15,60,0.02,1000.02
0.03,5,60,0.02,1000.02
0.03,15,20,0.02,1000.02
0.03,5,30,0.02,1000.02
0.03,10,100,0.02,1000.02
0.03,10,90,0.02,1000.02
0.03,5,20,0.02,1000.02
0.03,10,10,0.02,1000.02
0.03,15,50,0.02,1000.02
0.03,30,100,0.02,1000.02
0.03,25,80,0.02,1000.02
0.03,40,50,0.02,1000.02
0.03,50,100,0.02,1000.02
0.03,50,90,0.02,1000.02
0.03,50,80,0.02,1000.02
0.03,50,70,0.02,1000.02
0.03,50,50,0.02,1000.02
0.03,50,30,0.02,1000.02
0.03,50,20,0.02,1000.02
0.03,50,10,0.02,1000.02
0.03,45,60,0.02,1000.02
0.03,45,40,0.02,1000.02
0.03,40,100,0.02,1000.02
0.03,40,80,0.02,1000.02
0.03,40,70,0.02,1000.02
0.03,40,60,0.02,1000.02
0.03,45,80,0.02,1000.02
0.03,25,90,0.02,1000.02
0.03,35,100,0.02,1000.02
0.03,35,60,0.02,1000.02
0.03,35,70,0.02,1000.02
0.03,35,20,0.02,1000.02
0.03,35,30,0.02,1000.02
0.03,40,10,0.02,1000.02
0.03,40,20,0.02,1000.02
0.01,35,30,0.01,1000.01
0.02,50,100,0.01,1000.01
0.01,20,60,0.01,1000.01
0.01,20,70,0.01,1000.01
0.01,25,10,0.01,1000.01
0.01,25,40,0.01,1000.01
0.01,25,50,0.01,1000.01
